net,length_um
opcode[3],39.11µm
_1193_,39.08µm
_1875_,39.06µm
_2486_,39.035µm
_3326_,38.98µm
b[1],38.98µm
_3069_,38.92µm
_0729_,38.9µm
a[26],38.89µm
b[15],38.89µm
b[2],38.89µm
return_port[4],38.89µm
return_port[11],38.88µm
return_port[15],38.88µm
return_port[23],38.88µm
return_port[7],38.88µm
_2163_,38.82µm
a[30],38.77µm
a[0],38.76µm
a[14],38.76µm
a[20],38.76µm
a[2],38.76µm
a[6],38.76µm
_3324_,38.725µm
_0193_,38.68µm
a[13],38.64µm
a[21],38.64µm
b[10],38.64µm
b[17],38.64µm
b[19],38.64µm
b[26],38.64µm
b[9],38.64µm
_3044_,38.62µm
_3105_,38.58µm
_3144_,38.54µm
_1523_,38.52µm
_1431_,38.42µm
return_port[14],38.42µm
return_port[19],38.42µm
return_port[6],38.42µm
return_port[8],38.42µm
_3215_,38.38µm
_1303_,38.32µm
a[4],38.3µm
a[5],38.3µm
_2986_,38.28µm
a[25],38.18µm
_2694_,38.1µm
_3204_,38.06µm
_alu_i0.Datapath_i.reg_0.reg_out1\[16\],37.96µm
_2356_,37.94µm
_0674_,37.92µm
_2651_,37.9µm
_3239_,37.9µm
_1516_,37.895µm
_2960_,37.86µm
b[27],37.84µm
return_port[18],37.84µm
_2195_,37.83µm
_1521_,37.82µm
_2695_,37.65µm
_2261_,37.62µm
_1113_,37.56µm
_2105_,37.52µm
return_port[16],37.5µm
return_port[20],37.5µm
return_port[31],37.5µm
_1210_,37.44µm
_2444_,37.32µm
_1752_,37.29µm
_2595_,37.22µm
_2096_,37.1µm
_2318_,37.06µm
_3314_,37.03µm
_3051_,36.93µm
_0473_,36.9µm
_1369_,36.68µm
net103,36.68µm
_3264_,36.42µm
net463,36.38µm
_1901_,36.36µm
_0271_,36.32µm
_2776_,36.16µm
_1318_,36.11µm
_1987_,36.01µm
_0236_,35.96µm
_2448_,35.9µm
_2085_,35.74µm
_alu_i0.Datapath_i.reg_0.reg_out1\[21\],35.72µm
_0672_,35.66µm
_0862_,35.64µm
_3133_,35.6µm
_0009_,35.53µm
_2945_,35.51µm
_0263_,35.48µm
_1506_,35.48µm
_0192_,35.44µm
_0253_,35.44µm
_1977_,35.44µm
_1434_,35.38µm
_2334_,35.34µm
_3339_,35.335µm
_3027_,35.3µm
_1984_,35.02µm
_2397_,34.96µm
_1307_,34.94µm
_alu_i0.Datapath_i.reg_0.reg_out1\[22\],34.84µm
net57,34.84µm
_0860_,34.8µm
_1129_,34.76µm
_1494_,34.66µm
_2269_,34.605µm
_1877_,34.6µm
_3153_,34.54µm
_1517_,34.52µm
_2093_,34.34µm
_1078_,34.3µm
_2254_,34.26µm
_2962_,34.24µm
_1979_,34.2µm
_2110_,34.15µm
_2363_,34.04µm
_1087_,34µm
_2467_,33.96µm
_0501_,33.94µm
_0217_,33.86µm
_0381_,33.86µm
_3127_,33.84µm
_3129_,33.84µm
_1644_,33.82µm
_0977_,33.78µm
_0826_,33.74µm
_3290_,33.7µm
_0325_,33.65µm
_1085_,33.6µm
_0829_,33.58µm
_1364_,33.54µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[24\],33.525µm
_3228_,33.44µm
_1555_,33.28µm
_0668_,33.25µm
_0224_,33.18µm
net66,33.06µm
_alu_i0.Datapath_i.reg_0.reg_out1\[18\],33.04µm
_1352_,33µm
_0308_,32.99µm
_1846_,32.96µm
_2401_,32.96µm
_1524_,32.9µm
_0847_,32.88µm
_3041_,32.88µm
_alu_i0.Datapath_i.reg_0.reg_out1\[10\],32.82µm
_3229_,32.76µm
_2983_,32.7µm
_1316_,32.66µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[7\],32.645µm
